id,name,entity,country,sources,isMobile,isAnalysis,parameters,sensorType,lastUpdated,firstUpdated,measurements,bounds,manufacturers,coordinates.latitude,coordinates.longitude,province
953,Pickle Lake,,CA,,False,,"[{'id': 10, 'unit': 'ppm', 'count': 46565, 'average': 0.030284638661868687, 'lastValue': 0.039, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-06T19:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2016-03-06T19:00:00+00:00,46565,"[-90.2175, 54.4494, -90.2175, 54.4494]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",54.4494,-90.2175,ON
285,Wagner2,,CA,,False,,"[{'id': 7, 'unit': 'ppm', 'count': 33591, 'average': 0.004100339900111111, 'lastValue': 0.003, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 9, 'unit': 'ppm', 'count': 33606, 'average': 0.00035010053386951603, 'lastValue': 0.0, 'parameter': 'so2', 'displayName': 'so2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 9, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2016-03-10T07:00:00+00:00,67197,"[-114.449722, 53.493889, -114.449722, 53.493889]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",53.493889,-114.449722,AB
287,St. Lina,,CA,,False,,"[{'id': 9, 'unit': 'ppm', 'count': 17146, 'average': 7.882414151925082e-05, 'lastValue': 0.0, 'parameter': 'so2', 'displayName': 'so2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 9, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 18059, 'average': 6.899098577571943, 'lastValue': 2.4, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 7, 'unit': 'ppm', 'count': 17221, 'average': 0.0021537263048558783, 'lastValue': 0.001, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 10, 'unit': 'ppm', 'count': 17242, 'average': 0.03261068834313403, 'lastValue': 0.04, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2016-03-10T07:00:00+00:00,69668,"[-111.50264, 54.216473, -111.50264, 54.216473]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",54.216473,-111.50264,AB
297,Steeper,,CA,,False,,"[{'id': 7, 'unit': 'ppm', 'count': 31206, 'average': 0.0012619428571429014, 'lastValue': 0.0, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 9, 'unit': 'ppm', 'count': 31713, 'average': 9.670305023923226e-05, 'lastValue': 0.0, 'parameter': 'so2', 'displayName': 'so2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 9, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 33369, 'average': 3.5947573918290496, 'lastValue': 1.6, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 10, 'unit': 'ppm', 'count': 31559, 'average': 0.035777163696518205, 'lastValue': 0.056, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2016-03-10T07:00:00+00:00,127847,"[-117.09111, 53.1325, -117.09111, 53.1325]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",53.1325,-117.09111,AB
7975,Vanderhoof Courthous,,CA,,False,,"[{'id': 1, 'unit': 'µg/m³', 'count': 9064, 'average': 18.195972347460174, 'lastValue': 7.0, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2021-08-18T16:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 8788, 'average': 13.175986842105264, 'lastValue': 2.9, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2018-10-04T21:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2018-10-04T21:00:00+00:00,17852,"[-124.0061, 54.0163, -124.0061, 54.0163]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",54.0163,-124.0061,BC
8132,FREDERICTON-NEEDHAM,,CA,,False,,"[{'id': 10, 'unit': 'ppm', 'count': 7121, 'average': 0.02983846971307113, 'lastValue': 0.019, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2023-05-07T00:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 6830, 'average': 6.411276595744683, 'lastValue': 3.0, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2023-05-07T00:00:00+00:00', 'manufacturers': None}, {'id': 7, 'unit': 'ppm', 'count': 7012, 'average': 0.0013156549520766737, 'lastValue': 0.0011, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2023-05-07T00:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2023-05-07T00:00:00+00:00,20963,"[-66.645562, 45.957344, -66.645562, 45.957344]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",45.957344,-66.645562,NB
8213,Castlegar Zinio Park,,CA,,False,,"[{'id': 10, 'unit': 'ppm', 'count': 18840, 'average': 0.01919181902696038, 'lastValue': 0.03, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2021-07-23T12:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 19568, 'average': 14.762103692651996, 'lastValue': 13.0, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2021-07-23T17:00:00+00:00', 'manufacturers': None}, {'id': 35, 'unit': 'ppm', 'count': 7201, 'average': 0.000685601265822786, 'lastValue': -0.0005, 'parameter': 'no', 'displayName': 'no ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 35, 'firstUpdated': '2023-03-30T05:00:00+00:00', 'manufacturers': None}, {'id': 9, 'unit': 'ppm', 'count': 18864, 'average': 0.0011882726077202706, 'lastValue': 0.0, 'parameter': 'so2', 'displayName': 'so2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 9, 'firstUpdated': '2021-07-23T12:00:00+00:00', 'manufacturers': None}, {'id': 7, 'unit': 'ppm', 'count': 18677, 'average': 0.005261821036106803, 'lastValue': 0.0019, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2021-07-23T12:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 37552, 'average': 9.62633157579007, 'lastValue': 0.0, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2018-08-20T16:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2018-08-20T16:00:00+00:00,120702,"[-117.66152699999999, 49.317698, -117.66152699999999, 49.317698]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",49.317698,-117.66152699999999,BC
8567,FORT ST JOHN LEARNIN,,CA,,False,,"[{'id': 7, 'unit': 'ppm', 'count': 17231, 'average': 0.006409065934065987, 'lastValue': 0.0077, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2021-07-23T12:00:00+00:00', 'manufacturers': None}, {'id': 10, 'unit': 'ppm', 'count': 17730, 'average': 0.02460451356605556, 'lastValue': 0.031, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2021-07-23T12:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 30182, 'average': 6.867819204332418, 'lastValue': 4.8, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2019-10-28T18:00:00+00:00', 'manufacturers': None}, {'id': 9, 'unit': 'ppm', 'count': 18453, 'average': 0.00037381428457168244, 'lastValue': 0.0007, 'parameter': 'so2', 'displayName': 'so2 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 9, 'firstUpdated': '2021-07-23T12:00:00+00:00', 'manufacturers': None}, {'id': 35, 'unit': 'ppm', 'count': 7113, 'average': 0.0006716123499142372, 'lastValue': -0.0002, 'parameter': 'no', 'displayName': 'no ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 35, 'firstUpdated': '2023-03-30T05:00:00+00:00', 'manufacturers': None}, {'id': 1, 'unit': 'µg/m³', 'count': 18891, 'average': 19.163514147256528, 'lastValue': 16.0, 'parameter': 'pm10', 'displayName': 'pm10 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2021-08-03T18:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2019-10-28T18:00:00+00:00,109600,"[-120.85611100000001, 56.244722, -120.85611100000001, 56.244722]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",56.244722,-120.85611100000001,BC
8592,Edmonton Woodcroft,,CA,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 34256, 'average': 9.327343403689397, 'lastValue': 3.7, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2018-07-23T21:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2018-07-23T21:00:00+00:00,34256,"[-113.562583, 53.564411, -113.562583, 53.564411]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",53.564411,-113.562583,AB
8640,Joussard,,CA,,False,,"[{'id': 10, 'unit': 'ppm', 'count': 4967, 'average': 0.035758503401360525, 'lastValue': 0.044, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-21T11:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2022-10-04T18:00:00+00:00', 'manufacturers': None}]",,2024-04-21T11:00:00+00:00,2022-10-04T18:00:00+00:00,4967,"[-115.895667, 55.340367, -115.895667, 55.340367]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",55.340367,-115.895667,AB
