Unnamed: 0,id,city,name,entity,country,sources,isMobile,isAnalysis,parameters,sensorType,lastUpdated,firstUpdated,measurements,bounds,manufacturers,coordinates.latitude,coordinates.longitude,province,pm25_average
14,953,ONTARIO,Pickle Lake,,CA,,False,,"[{'id': 10, 'unit': 'ppm', 'count': 46548, 'average': 0.030284638661868687, 'lastValue': 0.048, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-06T19:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2016-03-06T19:00:00+00:00,46548,"[-90.2175, 54.4494, -90.2175, 54.4494]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",54.4494,-90.2175,ON,
15,285,ALBERTA,Wagner2,,CA,,False,,"[{'id': 7, 'unit': 'ppm', 'count': 33575, 'average': 0.004100339900111111, 'lastValue': 0.002, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 9, 'unit': 'ppm', 'count': 33590, 'average': 0.00035010053386951603, 'lastValue': 0.0, 'parameter': 'so2', 'displayName': 'so2 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 9, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2016-03-10T07:00:00+00:00,67165,"[-114.449722, 53.493889, -114.449722, 53.493889]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",53.493889,-114.449722,AB,
16,297,ALBERTA,Steeper,,CA,,False,,"[{'id': 10, 'unit': 'ppm', 'count': 31543, 'average': 0.035777163696518205, 'lastValue': 0.052, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 33352, 'average': 3.5947573918290496, 'lastValue': 1.5, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 9, 'unit': 'ppm', 'count': 31697, 'average': 9.670305023923226e-05, 'lastValue': 0.0, 'parameter': 'so2', 'displayName': 'so2 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 9, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 7, 'unit': 'ppm', 'count': 31190, 'average': 0.0012619428571429014, 'lastValue': 0.001, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2016-03-10T07:00:00+00:00,127782,"[-117.09111, 53.1325, -117.09111, 53.1325]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",53.1325,-117.09111,AB,3.5947573918290496
17,394,ALBERTA,Edson,,CA,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 12757, 'average': 11.169175767030701, 'lastValue': 4.1, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2022-01-25T16:00:00+00:00', 'manufacturers': None}, {'id': 7, 'unit': 'ppm', 'count': 38574, 'average': 0.007049930405425494, 'lastValue': 0.004, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 10, 'unit': 'ppm', 'count': 38557, 'average': 0.0249279535489979, 'lastValue': 0.038, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2016-03-10T07:00:00+00:00,89888,"[-116.39280000000001, 53.5936, -116.39280000000001, 53.5936]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",53.5936,-116.3928,AB,11.169175767030701
18,429,PRINCE EDWARD ISLAND,SOUTHAMPTON,,CA,,False,,"[{'id': 7, 'unit': 'ppm', 'count': 6916, 'average': 0.0004942502818489279, 'lastValue': 0.0005, 'parameter': 'no2', 'displayName': 'no2 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 7, 'firstUpdated': '2023-05-07T00:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 6775, 'average': 5.326621923937363, 'lastValue': 4.1, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2023-05-07T00:00:00+00:00', 'manufacturers': None}, {'id': 35, 'unit': 'ppm', 'count': 6914, 'average': 0.00031084745762712066, 'lastValue': 0.0002, 'parameter': 'no', 'displayName': 'no ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 35, 'firstUpdated': '2023-05-07T00:00:00+00:00', 'manufacturers': None}, {'id': 10, 'unit': 'ppm', 'count': 5591, 'average': 0.029338582677165284, 'lastValue': 0.037, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2023-05-07T00:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2023-05-07T00:00:00+00:00,26196,"[-62.5828, 46.3864, -62.5828, 46.3864]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",46.3864,-62.5828,PE,5.326621923937363
19,439,QUEBEC,Saint-Faustin-Lac-Ca,,CA,,False,,"[{'id': 10, 'unit': 'ppm', 'count': 41076, 'average': 0.030529813612211482, 'lastValue': 0.038, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 41349, 'average': 5.0453882070064635, 'lastValue': 1.8, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2016-03-10T07:00:00+00:00,82425,"[-74.4819, 46.035, -74.4819, 46.035]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",46.035,-74.4819,QC,5.0453882070064635
20,447,QUEBEC,Saint-Hilaire-de-Dor,,CA,,False,,"[{'id': 10, 'unit': 'ppm', 'count': 41810, 'average': 0.032430534093781875, 'lastValue': 0.045, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 17301, 'average': 4.550744517642822, 'lastValue': 2.1, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-09-17T11:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2016-03-10T07:00:00+00:00,59111,"[-70.8597, 45.8156, -70.8597, 45.8156]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",45.8156,-70.8597,QC,4.550744517642822
21,450,QUEBEC,R�s. Faun. Ashuapmus,,CA,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 16693, 'average': 4.808941027266954, 'lastValue': 0.6, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-09-17T11:00:00+00:00', 'manufacturers': None}, {'id': 10, 'unit': 'ppm', 'count': 40811, 'average': 0.027595338620413357, 'lastValue': 0.031, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2016-03-10T07:00:00+00:00,57504,"[-72.7428, 48.8183, -72.7428, 48.8183]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",48.8183,-72.7428,QC,4.808941027266954
22,453,QUEBEC,Longueuil,,CA,,False,,"[{'id': 2, 'unit': 'µg/m³', 'count': 18845, 'average': 7.557640644753463, 'lastValue': 1.0, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-18T17:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-09-17T11:00:00+00:00', 'manufacturers': None}, {'id': 10, 'unit': 'ppm', 'count': 44044, 'average': 0.026458696686220855, 'lastValue': 0.041, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2016-03-10T07:00:00+00:00,62889,"[-73.4939, 45.5231, -73.4939, 45.5231]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",45.5231,-73.4939,QC,7.557640644753463
23,468,QUEBEC,La Patrie - Ditton,,CA,,False,,"[{'id': 10, 'unit': 'ppm', 'count': 44062, 'average': 0.029767314399600595, 'lastValue': 0.043, 'parameter': 'o3', 'displayName': 'o3 ppm', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 10, 'firstUpdated': '2016-03-10T07:00:00+00:00', 'manufacturers': None}, {'id': 2, 'unit': 'µg/m³', 'count': 17366, 'average': 4.532048001411806, 'lastValue': 2.3, 'parameter': 'pm25', 'displayName': 'pm25 µg/m³', 'lastUpdated': '2024-04-20T16:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-09-17T11:00:00+00:00', 'manufacturers': None}]",,2024-04-20T16:00:00+00:00,2016-03-10T07:00:00+00:00,61428,"[-71.2514, 45.3733, -71.2514, 45.3733]","[{'modelName': 'Government Monitor', 'manufacturerName': 'Unknown Governmental Organization'}]",45.3733,-71.2514,QC,4.532048001411806
